Political Group,Total
Nepali Congress (NC),196
Communist Party of Nepal (UML),175
Communist Party of Nepal (Maoists),80
Rastriya Prajatantra Party Nepal,24
"Madhesi Jana Adhikar Forum, Nepal (Loktantrik)",14
National Democratic Party (RPP: Rashtriya Prajatantra Party),13
Tarai Madhes Loktantrik Party,11
"Madhesi Jana Adhikar Forum, Nepal",10
Sadbhavana Party,6
Communist Party of Nepal (Marxist Leninist),5
Federal Socialist Party,5
Nepal Workers' and Peasants' Party,4
Terai Madhes Sadbhavana Party,3
Rastriya Janamorcha,3
Communist Party of Nepal (Unified),3
Rashtriya Madhesh Samajwadi Party,3
Independents,2
Nepal Pariwar Dal,2
Dalit Janajati Party,2
"Tharuwat Tarai Party, Nepal",2
Rastriya Janamukti Party,2
